Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
269,"O Quevedo-Teruel, H Chen, A Díaz-Rubio, G Gok, A Grbic, G Minatti, ...","Roadmap on metasurfaces",2019,"Journal of Optics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8286398673291060387",1,"2025-04-25 01:13:59","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:4TOpqqG69KYC",21,7,73002,73002,269,44.83,38,7,6,"","",""
213,"M Song, D Wang, S Peana, SM Choudhury, P Nyga, ZA Kudyshev, H Yu, ...","Colors with plasmonic nanostructures: A full-spectrum review",2019,"Applied Physics Reviews","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6671964885150555504",2,"2025-04-25 01:13:59","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:qxL8FJ1GzNcC",6,4,41308,41308,213,35.50,27,8,6,"","",""
165,"SM Choudhury, D Wang, K Chaudhuri, C DeVault, AV Kildishev, ...","Material platforms for optical metasurfaces",2018,"Nanophotonics","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2988915726666485358",3,"2025-04-25 01:13:59","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:MXK_kJrjxJIC",7,6,959,987,165,23.57,28,6,7,"","",""
81,"SM Choudhury, U Guler, A Shaltout, VM Shalaev, AV Kildishev, ...","Pancharatnam–Berry phase manipulating metasurface for visible color hologram based on low loss silver thin film",2017,"Advanced Optical Materials","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16396228527597502808",4,"2025-04-25 01:13:59","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:0EnyYjriUFMC",5,10,1700196,1700196,81,10.13,14,6,8,"","",""
74,"J Kim, SM Choudhury, C DeVault, Y Zhao, AV Kildishev, VM Shalaev, ...","Controlling the polarization state of light with plasmonic metal oxide metasurface",2016,"ACS nano","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15629147133999960574",5,"2025-04-25 01:13:59","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:UebtZRa9Y70C",10,10,9326,9333,74,8.22,11,7,9,"","",""
69,"MM Hassan, FS Sium, F Islam, SM Choudhury","A review on plasmonic and metamaterial based biosensing platforms for virus detection",2021,"Sensing and Bio-Sensing Research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3559577447094373623,3142927825417972172",6,"2025-04-25 01:13:59","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:mB3voiENLucC",33,,100429,100429,69,17.25,17,4,4,"","",""
37,"VA Zenin, SM Choudhury, S Saha, VM Shalaev, A Boltasseva, ...","Hybrid plasmonic waveguides formed by metal coating of dielectric ridges",2017,"Optics express","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10619818460269988738",7,"2025-04-25 01:13:59","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:5nxA0vEk-isC",25,11,12295,12302,37,4.63,6,6,8,"","",""
36,"H Jiang, SM Choudhury, ZA Kudyshev, D Wang, LJ Prokopeva, P Xiao, ...","Enhancing sensitivity to ambient refractive index with tunable few-layer graphene/hBN nanoribbons",2019,"Photonics Research","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2106893158866834578",8,"2025-04-25 01:13:59","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:_kc_bZDykSQC",7,7,815,822,36,6.00,5,7,6,"","",""
21,"SM Choudhury","Design and implementation of a low cost power factor improvement device",2008,"TENCON 2008-2008 IEEE Region 10 Conference","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12287718853822111240",9,"2025-04-25 01:13:59","Conference paper","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:UeHWp8X0CEIC",,,1,4,21,1.24,21,1,17,"","",""
20,"MH Himel, B Sikder, T Ahmed, SM Choudhury","Biomimicry in nanotechnology: A comprehensive review",2023,"Nanoscale Advances","","","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=308848761021806897,9712927391075065185",10,"2025-04-25 01:13:59","Journal article","","","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Fu8Hkb4AAAAJ&pagesize=100&citation_for_view=Fu8Hkb4AAAAJ:GnPB-g6toBAC",5,3,596,614,20,10.00,5,4,2,"","",""
